Timestamp,What is your age?,What is your Gender,What is your current city/town of residence?,Which of the following best describes your current diet?,How long have you been following your current diet? ,What was your main motivation for choosing your current diet? ,"How many times per week do you consume non-vegetarian foods (meat, fish, eggs)?",How many times per week do you consume vegetarian foods?,"When eating out, how difficult is it to find meals that fit your diet?","How confident are you that your current diet meets your nutritional needs? (1= not at all confident, 5= extremely confident)","How important are ethical or environmental concerns in your food choices? (1= not important, 5= extremely important)",Do you plan to change your dietary pattern in the next 12 months?,who?
2024-11-16 09:28:41.352600,23,Male,Pune,Non-Vegetarian,1–5 years,Health,Never,more,neutral,3,4,fuck no,Vedang
2024-10-12 04:51:26.352600,54,Male,Pune,Eggetarian,5-10 years,Health,Never,more,easy,4,3,fuck no,Viraj
2025-04-24 12:14:19.353600,61,Female,Pune,Vegetarian,more than 10 years,Other,3-4,5,easy,5,4,yes,Vedang
2024-10-01 13:16:39.353600,45,Female,Pune,Non-Vegetarian,more than 10 years,Family Tradition,5,1-2,easy,4,4,fuck no,Vedang
2025-02-20 18:18:50.353600,36,Male,Pune,Non-Vegetarian,Less than 1 year,Ethics/Religious Beliefs,Never,3-4,neutral,3,3,fuck no,Yash
2025-08-02 06:50:19.353600,26,Female,Pune,Non-Vegetarian,more than 10 years,Health,Never,more,neutral,4,2,fuck no,Yash
2025-03-08 09:21:48.353600,54,Male,Pune,Non-Vegetarian,1–5 years,Health,1-2,3-4,neutral,5,4,fuck no,Viraj
2025-02-11 07:55:13.353600,51,Female,Pune,Non-Vegetarian,1–5 years,Family Tradition,1-2,more,easy,3,4,maybe,Tushar
2025-05-26 19:44:10.353600,27,Female,Pune,Vegetarian,1–5 years,Health,Never,3-4,neutral,4,2,maybe,Yash
2025-04-21 18:54:53.353600,44,Male,Pune,Vegetarian,more than 10 years,Other,3-4,more,neutral,3,5,maybe,Viraj
2025-07-10 17:19:35.353600,51,Female,Pune,Vegetarian,1–5 years,Health,Never,3-4,neutral,3,5,maybe,Yash
2025-08-24 18:57:50.353600,43,Male,Pune,Non-Vegetarian,Less than 1 year,Family Tradition,Never,more,neutral,5,3,fuck no,Yash
2025-04-11 07:36:39.353600,46,Female,Pune,Vegetarian,more than 10 years,Health,1-2,more,neutral,5,4,fuck no,Viraj
2024-10-22 09:40:13.353600,28,Male,Pune,Eggetarian,1–5 years,Taste preference,Never,more,neutral,5,3,fuck no,Yash
2024-09-30 14:07:26.353600,35,Male,Pune,Vegetarian,more than 10 years,Health,Never,1-2,neutral,4,5,fuck no,Viraj
2025-04-17 08:16:36.353600,52,Female,Pune,Vegan,more than 10 years,Ethics/Religious Beliefs,Never,more,easy,3,3,maybe,Viraj
2024-10-06 22:55:26.353600,27,Female,Pune,Non-Vegetarian,1–5 years,Health,3-4,5,neutral,3,3,maybe,Yash
2024-10-16 07:33:37.353600,23,Female,Pune,Non-Vegetarian,Less than 1 year,Taste preference,3-4,5,neutral,3,1,fuck no,Yash
2025-06-02 22:25:36.353600,41,Male,Pune,Vegetarian,more than 10 years,Health,3-4,more,neutral,5,3,fuck no,Viraj
2025-06-08 16:55:58.353600,31,Male,Pune,Non-Vegetarian,Less than 1 year,Health,1-2,more,easy,3,3,yes,Viraj
2025-02-15 06:42:26.353600,46,Female,Pune,Eggetarian,Less than 1 year,Taste preference,Never,more,neutral,5,5,yes,Yash
2024-11-02 15:42:17.353600,26,Male,Pune,Vegetarian,1–5 years,Family Tradition,1-2,3-4,easy,3,4,fuck no,Yash
2025-02-19 03:41:19.353600,27,Male,Pune,Vegetarian,5-10 years,Taste preference,Never,more,neutral,5,3,yes,Yash
2025-07-28 04:52:37.354598,22,Male,Pune,Non-Vegetarian,Less than 1 year,Taste preference,1-2,more,easy,3,4,yes,Tushar
2025-04-02 08:03:31.354598,24,Female,Pune,Non-Vegetarian,1–5 years,Health,1-2,more,easy,4,3,fuck no,Vedang
2025-02-13 16:11:42.354598,58,Male,Pune,Vegetarian,1–5 years,Family Tradition,Never,more,neutral,4,3,yes,Yash
2025-06-02 11:45:39.354598,32,Male,Pune,Non-Vegetarian,Less than 1 year,Health,3-4,1-2,easy,3,3,fuck no,Yash
2025-03-29 19:29:23.354971,64,Male,Pune,Eggetarian,more than 10 years,Taste preference,Never,5,easy,3,3,fuck no,Viraj
2025-06-24 23:23:30.354971,57,Female,Pune,Non-Vegetarian,1–5 years,Health,Never,more,easy,5,3,maybe,Tushar
2025-06-04 02:45:58.354971,62,Male,Pune,Eggetarian,Less than 1 year,Taste preference,5,3-4,easy,3,2,fuck no,Viraj
2025-07-15 14:50:37.354971,48,Male,Pune,Vegetarian,Less than 1 year,Health,Never,more,easy,4,3,fuck no,Viraj
2025-01-08 10:19:16.354971,55,Female,Pune,Non-Vegetarian,more than 10 years,Health,5,1-2,neutral,3,5,fuck no,Yash
2025-06-09 08:04:20.354971,18,Female,Pune,Non-Vegetarian,Less than 1 year,Health,5,1-2,easy,5,5,fuck no,Tushar
2025-03-21 14:54:20.354971,44,Female,Pune,Vegetarian,Less than 1 year,Health,1-2,more,difficult,5,4,fuck no,Viraj
2024-10-21 07:32:26.354971,34,Male,Pune,Vegetarian,Less than 1 year,Health,3-4,more,neutral,3,4,yes,Vedang
2025-09-21 01:27:51.354971,42,Female,Pune,Non-Vegetarian,Less than 1 year,Family Tradition,Never,3-4,easy,4,4,yes,Tushar
2025-05-12 14:41:56.354971,24,Male,Pune,Other,Less than 1 year,Health,Never,3-4,neutral,3,4,maybe,Yash
2025-07-03 08:32:59.354971,47,Male,Pune,Other,Less than 1 year,Health,1-2,5,easy,5,4,yes,Viraj
2025-07-10 01:05:31.355988,61,Female,Pune,Non-Vegetarian,1–5 years,Health,Never,1-2,easy,5,3,fuck no,Yash
2025-09-28 04:05:09.355988,62,Female,Pune,Vegetarian,more than 10 years,Health,1-2,more,easy,4,3,fuck no,Vedang
2025-05-12 13:51:17.355988,57,Male,Pune,Non-Vegetarian,more than 10 years,Taste preference,1-2,more,neutral,3,3,fuck no,Vedang
2024-11-07 05:39:58.355988,59,Female,Pune,Non-Vegetarian,more than 10 years,Health,3-4,more,difficult,3,4,maybe,Viraj
2024-11-21 16:09:11.355988,47,Male,Pune,Non-Vegetarian,Less than 1 year,Health,1-2,3-4,neutral,1,5,fuck no,Viraj
2024-12-06 02:44:11.355988,35,Male,Pune,Vegetarian,5-10 years,Family Tradition,1-2,more,neutral,2,3,maybe,Viraj
2024-12-08 04:10:18.355988,33,Male,Pune,Vegetarian,5-10 years,Taste preference,1-2,5,easy,3,3,fuck no,Yash
2025-08-11 09:51:07.355988,38,Female,Pune,Vegetarian,more than 10 years,Health,Never,1-2,easy,4,5,yes,Viraj
2025-01-21 20:12:51.356557,19,Female,Pune,Non-Vegetarian,more than 10 years,Health,3-4,3-4,neutral,3,3,fuck no,Yash
2025-05-22 10:47:29.356557,36,Female,Pune,Vegetarian,more than 10 years,Family Tradition,Never,1-2,difficult,4,3,maybe,Tushar
2024-12-06 16:38:48.356557,27,Male,Pune,Non-Vegetarian,1–5 years,Taste preference,3-4,more,difficult,4,4,fuck no,Tushar
2025-01-30 14:22:00.356557,49,Female,Pune,Non-Vegetarian,1–5 years,Health,1-2,3-4,easy,5,3,fuck no,Yash
2025-06-05 07:33:00.356557,41,Male,Pune,Non-Vegetarian,1–5 years,Taste preference,Never,more,neutral,5,4,yes,Yash
2024-12-24 01:14:05.356557,59,Male,Pune,Non-Vegetarian,Less than 1 year,Family Tradition,3-4,more,neutral,4,3,yes,Viraj
2025-07-31 23:34:43.356557,25,Male,Pune,Non-Vegetarian,Less than 1 year,Taste preference,1-2,5,easy,4,3,fuck no,Yash
2024-11-25 20:18:19.356557,52,Prefer not to say,Pune,Non-Vegetarian,more than 10 years,Health,3-4,more,easy,4,4,maybe,Viraj
2025-01-26 10:23:26.356557,33,Male,Pune,Vegetarian,more than 10 years,Family Tradition,Never,3-4,neutral,4,5,fuck no,Viraj
2024-12-29 16:36:49.356557,63,Female,Pune,Non-Vegetarian,1–5 years,Health,1-2,5,neutral,5,5,fuck no,Yash
2025-01-19 16:31:15.357551,58,Female,Pune,Vegetarian,Less than 1 year,Health,3-4,more,difficult,3,2,yes,Tushar
2024-10-02 06:00:14.357551,55,Female,Pune,Vegetarian,more than 10 years,Taste preference,1-2,1-2,easy,1,3,yes,Vedang
2025-07-06 20:51:33.357551,27,Male,Pune,Vegetarian,Less than 1 year,Taste preference,1-2,Never,neutral,3,2,yes,Tushar
